Title,Listing,Price,Reg_year,Mileage,Fuel,Body_type,Location,Transmission,No_of_seats,Cylinders,No_of_owners
Audi A4 TDI S LINE 2.0 4dr,"Xenon Headlamps, Privacy Glass",8400,2014.0,73785,Diesel,Saloon,chatham,Manual,5,2.0L,
MINI Hatch 1.6 Cooper S 3dr,Cheapest Spec On The Net.,600,,94154,,, birmingham,,4,,
Honda Accord 1.8 i-VTEC Sport 4dr,,750,2003.0,125000,Petrol,Saloon, doncaster,Manual,5,,
Volkswagen Polo 1.4 TDI E 5dr,ELDERLY OWNER ALWAYS GARGED,750,2005.0,99463,Diesel,Hatchback, chingford,Manual,5,1.8L,5 owners
Jeep Patriot 2.4 SPORT 5d 168 BHP MOT - 11/04/2020,CALL 07977223024 FOR QUESTIONS,1595,2010.0,86200,Petrol,SUV, wickford,Manual,5,1.4L,
Suzuki Swift 1.6 VVT Sport 3dr,MOT TILL JAN/21 NO ADVISORIES,2000,2008.0,130000,Petrol,Hatchback, reading,Manual,5,2.4L,
BMW 3 Series 2.0 320d M Sport Business Edition 4dr,M SPORT - BUSINESS EDITION ,2250,2010.0,90000,Diesel,Saloon, smethwick,Manual,5,1.6L,
MG MG6 1.8 TCi GT TSE 5dr,Unique MG MG6 1.8 TCi GT TSE,2100,2011.0,100000,Petrol,Hatchback, cambridge,Manual,5,2.0L,
MINI Hatch 1.6 One 3dr,,250,,103000,,, dover,,4,1.8L,
Ford Ranger 2.5 TDCi XLT Double Cab 4x4 4dr,PRIVATE PLATE / LOW MILES!,2949,2006.0,73785,Diesel,Pickup, high wycombe,Manual,4,,
Suzuki Swift 1.4 BoosterJet Sport 5dr,Supplied From New - Part Ex,10990,2018.0,11421,Petrol,Hatchback,fareham,Manual,5,1.4L,
Ford Mondeo 3.0 ST220 5d 226 BHP - TRADE CLEARANCE,,890,2004.0,172452,Petrol,Hatchback, tonbridge,Manual,5,3.0L,
Volkswagen Golf 1.9 TDI S 5dr,"Alloys Wheel, Superb Runner",950,2004.0,134000,Diesel,Hatchback, lower edmonton,Manual,5,1.9L,5 owners
Rover 25 1.6 GXi 5dr,,595,2006.0,78000,Petrol,Hatchback, basildon,Manual,5,1.6L,5 owners
Mitsubishi Colt Attivo 1.1 5dr,,595,2005.0,120000,Petrol,Hatchback, watford,Manual,5,1.1L,
Toyota RAV4 2.0 D-4D XT3 4WD 5dr,3 keys. FULL SERVICE HISTORY ,1495,2004.0,100000,Diesel,SUV, slough,Manual,5,2.0L,3 owners
MINI Hatch 1.6 Cooper 3dr,Moving ! Quick sale ! ,1500,2005.0,89300,Petrol,Hatchback, isleworth,Manual,4,1.6L,
KIA Sorento 2.5 CRDi XE 5dr,SERVICE HISTORY-2PO-CHEAP 4X4 ,990,2005.0,135000,Diesel,SUV, milton keynes,Manual,5,2.5L,
BMW 7 Series 2.8 728i 4dr,,1000,1998.0,230000,Petrol,Saloon, aldershot,Automatic,4,2.8L,4 owners
Vauxhall Corsa 1.2 i 16v Active 3dr,low mileage ,795,2003.0,81000,Petrol,Hatchback, east grinstead,Manual,5,1.2L,
Fiat 500 1.2 Pop (s/s) 3dr,Smoke free. MOT to April 2021.,2100,2010.0,82000,Petrol,Hatchback, letchworth garden city,Manual,4,1.2L,
Audi A3 SPORTBACK TDI QUATTRO S LINE 2.0 5dr,"Euro 6,Sat Nav,Heated Seats.",13850,2014.0,51000,Diesel,Hatchback, maidenhead,Automatic,5,2.0L,
SKODA Octavia 1.8 Ambiente 5dr,NEW MOT 9SERVICE STAMPS ,2295,2008.0,80000,Petrol,Hatchback, eastleigh,Manual,5,1.8L,
SKODA Octavia 1.8 Ambiente 5dr,NEW MOT 9SERVICE STAMPS ,2295,2008.0,80000,Petrol,Hatchback,eastleigh,Manual,5,1.8L,
Ford Galaxy 2.0 TDCi Zetec Powershift 5dr,ONLY 1 PREVIOUS OWNER   PCO,1100,2012.0,160000,Diesel,MPV, ruislip,Automatic,7,2.0L,2 owners
SKODA Octavia 2.0 FSI Sport 5dr,Quick Sale Wanted,800,2007.0,130000,Petrol,Hatchback, steyning,Manual,5,2.0L,
Suzuki Swift 1.5 GLX VVTS 5d 101 BHP ***Clearance Sale***,Suzuki Swift 1.5 Auto,2000,2007.0,69800,,Hatchback, hayes,,5,,
BMW 5 SERIES 2.5 525D CHEAPEST AUTOMATIC 525D+GOOD …,PART EXCHANGE TO CLEAR+MORE,1989,2006.0,183273,Diesel,Saloon, chelmsford,Manual,5,2.5L,7 owners
MINI Convertible 1.6 One 2dr,"Full Service History, MOT Oct",1299,2006.0,85276,Petrol,Convertible, None,Manual,4,1.6L,
Ford KA 1.3 Zetec Climate 3dr,FORD KA for sale 12 months mot,549,2008.0,90000,Petrol,Hatchback, greenford,Manual,5,1.3L,
Ford Fiesta STYLE 16V 1.3 5dr,LOW MILEAGE// PERFECT FIRST CA,1499,2006.0,67154,Petrol,Hatchback, worcester,Manual,5,1.25L,
Porsche Cayenne 4.5 S 5d 340 BHP CHEAPEST PROJECT CAR CHEAPEST …,PROJECT CAR,1989,2003.0,133911,Petrol,SUV, chelmsford,Automatic,5,4.5L,
MINI Hatch 1.6 Cooper 3dr,New timing chain fited New MOT,2000,2007.0,87888,Petrol,Hatchback, welling,Manual,4,1.6L,
Audi A4 1.9 TDI SE 4dr,"Very Good Condition ,Long MOT",1499,2005.0,137965,Diesel,Saloon, portsmouth,Manual,5,1.9L,
Volkswagen Polo SE 1.0 3dr,£20 Road Tax.Air Conditioning.,7450,2015.0,39000,Petrol,Hatchback, maidenhead,Manual,5,1.0L,
Suzuki Swift 1.4 BoosterJet Sport 5dr,Supplied From New - Part Ex,10990,2018.0,11421,Petrol,Hatchback, fareham,Manual,5,1.4L,
SKODA Octavia 1.8 Ambiente 5dr,NEW MOT 9SERVICE STAMPS ,2295,2008.0,80000,Petrol,Hatchback,eastleigh,Manual,5,1.8L,
Toyota Yaris 1.3 TR VVT-I MM 5d 99 BHP ULEZ FREE,ONLY ONE FORMER KEEPER,2750,2010.0,115000,Petrol,Hatchback, luton,Automatic,5,1.33L,
Volvo C70 2.0 T 2dr,Convertable,900,2003.0,70000,Petrol,Convertible, slough,Manual,4,2.0L,5 owners
Ford Focus 1.4 i 16v LX 5dr,"MOT 19/02/21,JUST SERVICED",795,,45000,,, reading,,5,,
Volkswagen Polo 1.2 S 5dr (a/c),,3500,2011.0,46780,Petrol,Hatchback, portsmouth,Manual,5,,
MINI Hatch 1.6 TD Cooper D (Chili) 3dr,REQUIRES SOME ATTENTION,2489,2010.0,136500,Diesel,Hatchback, bedford,Manual,4,1.2L,
